fecha,evento
2016-01-01,Año Nuevo
2016-02-14,Dia de San Valentin
2016-09-11,Dia del Maestro
2017-01-01,Año Nuevo
2017-02-14,Dia de San Valentin
2017-03-08,Dia de la Mujer
2017-07-20,Dia del Amigo
2017-09-11,Dia del Maestro
2018-01-01,Año Nuevo
2018-02-14,Dia de San Valentin
2018-03-08,Dia de la Mujer
2018-07-20,Dia del Amigo
2018-09-11,Dia del Maestro
2019-01-01,Año Nuevo
2019-02-14,Dia de San Valentin
2019-03-08,Dia de la Mujer
2019-07-20,Dia del Amigo
2019-09-11,Dia del Maestro
2020-01-01,Año Nuevo
